Name,Rating,Reviews,Type,Salaries,Interviews,Jobs,Benefits
TCS,3.7,91.3k,IT Services & Consulting | Bangalore / Bengaluru +391 other locations,8.8L,10.5k,136,11.9k
Accenture,3.8,57.5k,IT Services & Consulting | Bangalore / Bengaluru +210 other locations,5.9L,8.2k,17.5k,7.3k
Wipro,3.7,53.9k,IT Services & Consulting | Bangalore / Bengaluru +342 other locations,4.5L,5.6k,2.5k,5.3k
Cognizant,3.7,51.1k,IT Services & Consulting | Chennai +197 other locations,5.7L,5.6k,323,6.1k
Capgemini,3.7,42.5k,IT Services & Consulting | Bangalore / Bengaluru +167 other locations,4.3L,4.8k,2k,4.2k
HDFC Bank,3.9,40.3k,Banking | Mumbai +1663 other locations,1.4L,2.2k,539,3.3k
Infosys,3.6,40.1k,IT Services & Consulting | Bangalore / Bengaluru +216 other locations,4.7L,7.6k,2.7k,5.3k
ICICI Bank,4.0,38.7k,Banking | Mumbai +1357 other locations,1.5L,2.4k,2,3.8k
HCLTech,3.5,36.8k,IT Services & Consulting | Chennai +209 other locations,3.3L,3.8k,175,4.3k
Tech Mahindra,3.5,35.7k,IT Services & Consulting | Hyderabad / Secunderabad +295 other locations,2.7L,3.8k,610,3.7k
Genpact,3.8,32k,IT Services & Consulting | Hyderabad / Secunderabad +143 other locations,2.1L,3.1k,542,3.8k
Teleperformance,3.9,30.2k,BPO | Mumbai +212 other locations,90.8k,1.8k,396,2.2k
Concentrix Corporation,3.8,26.8k,BPO | Bangalore / Bengaluru +149 other locations,1.2L,1.6k,88,3.4k
Axis Bank,3.8,25.9k,Banking | Mumbai +1389 other locations,99.6k,1.5k,164,2.2k
Amazon,4.1,25.5k,Internet | Bangalore / Bengaluru +467 other locations,1.2L,5k,2.7k,4.4k
Jio,4.0,23.5k,Telecom | Mumbai +1304 other locations,63k,1.8k,140,2.7k
iEnergizer,4.6,22.8k,BPO | Noida +41 other locations,22.8k,621,198,566
